Id,SalePrice
1461,129000
1462,158000
1463,175000
1464,173000
1465,159895
1466,225000
1467,173000
1468,180000
1469,181000
1470,144000
1471,196000
1472,118000
1473,88000
1474,148500
1475,119750
1476,169000
1477,205000
1478,280000
1479,314813
1480,466500
1481,268000
1482,202500
1483,200141
1484,109900
1485,187500
1486,225000
1487,340000
1488,232000
1489,198900
1490,153500
1491,195000
1492,118500
1493,175000
1494,176000
1495,313000
1496,217000
1497,146000
1498,151000
1499,151000
1500,155000
1501,168500
1502,88000
1503,194000
1504,201000
1505,153500
1506,213000
1507,260000
1508,315000
1509,154000
1510,179900
1511,135000
1512,167000
1513,170000
1514,163500
1515,149500
1516,140000
1517,142000
1518,201000
1519,168500
1520,139000
1521,142000
1522,157000
1523,115000
1524,131000
1525,137000
1526,128500
1527,132500
1528,119500
1529,155000
1530,167000
1531,169500
1532,132000
1533,129000
1534,115000
1535,119000
1536,124000
1537,128500
1538,137000
1539,124000
1540,136000
1541,131000
1542,127000
1543,127000
1544,87000
1545,128000
1546,132500
1547,149000
1548,149500
1549,88000
1550,140000
1551,139000
1552,190000
1553,152000
1554,135000
1555,190000
1556,135000
1557,118000
1558,113000
1559,122000
1560,189000
1561,136500
1562,115000
1563,123000
1564,179200
1565,151000
1566,168000
1567,116000
1568,335000
1569,154000
1570,140000
1571,140000
1572,157000
1573,157500
1574,179900
1575,153500
1576,230000
1577,208300
1578,157500
1579,145000
1580,140000
1581,93500
1582,129000
1583,385000
1584,189000
1585,131500
1586,60000
1587,112000
1588,139000
1589,141000
1590,127000
1591,102000
1592,149000
1593,124500
1594,200000
1595,117500
1596,163000
1597,207000
1598,181000
1599,194500
1600,179000
1601,84500
1602,126000
1603,124000
1604,275000
1605,159000
1606,173000
1607,171000
1608,200141
1609,140000
1610,167500
1611,152000
1612,187100
1613,181000
1614,118500
1615,88000
1616,88000
1617,88000
1618,127000
1619,82500
1620,213500
1621,147000
1622,152000
1623,324000
1624,187500
1625,110000
1626,175500
1627,165500
1628,200000
1629,95000
1630,350000
1631,189000
1632,179200
1633,112000
1634,193000
1635,159500
1636,109900
1637,250000
1638,195000
1639,181000
1640,250000
1641,171000
1642,239000
1643,186500
1644,190000
1645,235000
1646,155000
1647,148000
1648,140000
1649,148000
1650,129900
1651,148000
1652,83000
1653,83000
1654,172500
1655,156000
1656,146000
1657,172500
1658,146000
1659,148500
1660,146000
1661,287000
1662,200000
1663,466500
1664,345000
1665,318000
1666,385000
1667,240000
1668,230000
1669,149500
1670,315500
1671,275000
1672,340000
1673,309000
1674,232000
1675,207000
1676,196000
1677,207000
1678,385000
1679,402861
1680,230000
1681,190000
1682,236500
1683,192000
1684,174000
1685,174000
1686,167240
1687,167500
1688,124500
1689,178000
1690,185000
1691,147000
1692,225000
1693,95000
1694,193000
1695,180000
1696,250000
1697,180000
1698,310000
1699,241500
1700,230000
1701,250000
1702,250000
1703,295493
1704,306000
1705,192000
1706,244000
1707,179200
1708,194000
1709,232000
1710,153500
1711,204750
1712,230000
1713,217000
1714,201000
1715,227000
1716,198900
1717,181000
1718,102000
1719,200000
1720,270000
1721,142500
1722,142500
1723,155000
1724,153500
1725,236000
1726,212000
1727,179200
1728,177500
1729,154000
1730,139000
1731,117500
1732,129000
1733,144000
1734,120000
1735,115000
1736,115000
1737,385000
1738,255000
1739,106000
1740,224900
1741,153500
1742,177500
1743,159500
1744,272000
1745,197900
1746,167500
1747,197500
1748,222500
1749,158000
1750,142000
1751,193500
1752,136500
1753,262500
1754,167500
1755,176000
1756,127000
1757,115000
1758,158000
1759,170000
1760,163000
1761,173000
1762,219500
1763,129500
1764,107000
1765,315000
1766,150000
1767,220000
1768,120000
1769,180500
1770,108000
1771,155000
1772,144000
1773,125000
1774,190000
1775,139000
1776,140000
1777,130500
1778,142000
1779,158000
1780,184000
1781,108000
1782,110000
1783,139000
1784,85000
1785,139400
1786,234000
1787,140000
1788,86000
1789,82000
1790,64500
1791,265000
1792,167000
1793,152000
1794,138000
1795,155000
1796,140000
1797,139000
1798,113000
1799,125000
1800,123000
1801,179900
1802,190000
1803,140000
1804,129000
1805,142000
1806,117000
1807,160000
1808,97000
1809,79000
1810,164000
1811,98000
1812,85000
1813,127000
1814,109500
1815,60000
1816,100000
1817,135000
1818,266500
1819,91000
1820,93000
1821,102000
1822,135000
1823,60000
1824,107500
1825,115000
1826,83000
1827,102000
1828,133000
1829,67000
1830,87000
1831,136000
1832,130000
1833,164000
1834,128000
1835,117000
1836,141000
1837,98000
1838,85000
1839,87000
1840,179000
1841,125000
1842,126000
1843,148000
1844,179200
1845,140000
1846,148000
1847,174000
1848,60000
1849,90000
1850,108480
1851,131000
1852,141000
1853,91000
1854,107000
1855,137500
1856,194500
1857,190000
1858,109500
1859,118858
1860,153000
1861,118858
1862,239000
1863,207500
1864,207500
1865,275000
1866,290000
1867,201000
1868,256000
1869,175900
1870,194000
1871,232600
1872,155835
1873,231500
1874,156000
1875,149900
1876,210000
1877,150000
1878,232600
1879,135500
1880,100000
1881,262500
1882,236000
1883,188000
1884,213500
1885,222000
1886,275000
1887,220000
1888,270000
1889,161000
1890,170000
1891,145000
1892,115000
1893,135000
1894,234000
1895,177000
1896,125000
1897,118500
1898,161000
1899,137500
1900,78000
1901,163500
1902,158000
1903,207000
1904,124000
1905,205000
1906,131500
1907,335000
1908,88000
1909,155000
1910,148500
1911,158000
1912,190000
1913,201000
1914,118000
1915,275000
1916,108000
1917,228000
1918,149900
1919,144000
1920,171000
1921,385000
1922,394617
1923,159500
1924,235000
1925,188000
1926,385000
1927,131500
1928,149900
1929,125000
1930,116000
1931,123000
1932,139000
1933,184000
1934,210000
1935,215000
1936,139000
1937,168000
1938,185000
1939,145000
1940,179200
1941,181000
1942,187500
1943,181000
1944,325000
1945,275000
1946,143000
1947,311872
1948,143000
1949,149900
1950,158000
1951,180000
1952,149500
